French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
le soleil,the sun
la lune,the moon
une étoile,a star
la mer,the sea
la montagne,the mountain
le vent,the wind
la pluie,the rain
la neige,the snow
le feu,the fire
la terre,the earth
le ciel,the sky
un arbre,a tree
une fleur,a flower
le sable,the sand
la rivière,the river
le temps,the weather
la maison,the house
le livre,the book
le chat,the cat
le chien,the dog
l’eau,water
le pain,bread
le fromage,cheese
le vin,wine
le lait,milk
le café,coffee
le thé,tea
le sucre,sugar
le sel,salt
le beurre,butter
le riz,rice
le poisson,fish
la viande,meat
le poulet,chicken
le fruit,fruit
le légume,vegetable
la pomme,apple
la banane,banana
la fraise,strawberry
la carotte,carrot
la tomate,tomato
le jour,day
la nuit,night
le matin,morning
le soir,evening
l’heure,time
le travail,work
l’école,school
le professeur,teacher
l’étudiant,student
l’enfant,child
l’homme,man
la femme,woman
l’ami,friend
la famille,family
le père,father
la mère,mother
le frère,brother
la sœur,sister
le bébé,baby
le corps,body
la tête,head
les yeux,eyes
le nez,nose
la bouche,mouth
les oreilles,ears
les mains,hands
les pieds,feet
le cœur,heart
la santé,health
le médecin,doctor
l’hôpital,hospital
la musique,music
le film,movie
le jeu,game
le sport,sport
le football,soccer
le vélo,bicycle
la voiture,car
le train,train
l’avion,plane
la ville,city
le village,village
la route,road
la rue,street
le pont,bridge
le magasin,shop
le marché,market
le restaurant,restaurant
l’hôtel,hotel
la plage,beach
la forêt,forest
le parc,park
le jardin,garden
le lac,lake
le désert,desert
le pays,country
le monde,world
la vie,life
la mort,death
le bonheur,happiness
la tristesse,sadness
l’amour,love
la paix,peace
la guerre,war
la liberté,freedom
le rêve,dream
la couleur,color
le rouge,red
le bleu,blue
le vert,green
le jaune,yellow
le noir,black
le blanc,white
le gris,gray
le marron,brown
